12429072,"我想
一切都是因为你愿陪在我身边
所以我爱上了民谣也爱上了喝酒
工作请联系邮箱：260565340@qq.com"
5781,"薛之谦（Joker Xue），1983年7月17日出生于上海，华语流行乐男歌手、影视演员、音乐制作人，毕业于格里昂酒店管理学院。
2005年，参加选秀节目《我型我秀》正式出道 。2006年，发行首张同名专辑《薛之谦》，随后凭借歌曲《认真的雪》获得广泛关注。2008年，发行专辑《深深爱过你》并在上海举行个人首场演唱会“谦年传说” 。"
7890,中国上海青年女歌手，先后发行了《痒》《特别》两张国语专辑，她别具魅力的音乐风格引起业界各方的好评。为了表现出黄龄嗓音的特色与时尚、古典皆备的特性，专辑的曲风多元，有融合小调与粤曲风格的流行歌曲，也有率性狂放的摇滚风格，演唱技巧方面更是炉火纯青。
2524,于1983年出生于北京。他自小天资聪慧，曾在多次歌唱比赛中获奖。1998年花儿乐队成立，他担任主唱。后乐队解散，便独自发展。
4723, 美籍华人，中国台湾流行歌手、演员。2002年底发行首张专辑《壁虎漫步》后步入歌坛。2005年与大陆女歌手弦子合作《不得不爱》红遍两岸三地。其后缔造出《高手》《零零七》等八张畅销专辑成为歌影视界的实力偶像全能艺人，在华语乐坛人气鼎旺。2009年更升级潮店老板，所开设的NPC潮流服饰店在上海、北京均有店铺。
5349, 中国内地男歌手、演员，2007年参加湖南卫视快乐男声荣获年度总季军，2009年、2010年在国内首部青春励志偶像剧《一起来看流星雨》及《一起又看流星雨》中饰演叶烁，有“少女杀手”之称，誉为：“亚洲人气小天王”“内地全能偶像”，2010年发行首张专辑《千方百计》、2011年发行第二张专辑《破晓》，2012年10月15日发行第三张个人专辑《V SPACE》均销量火爆并获得多项大奖，深受乐坛及歌迷
7647,Ella陈嘉桦，台湾女子演唱团体S.H.E的成员之一。2000年参加华研国际音乐《宇宙2000实力美少女选拔》获公司高层青睐，其后与参赛成员任家萱（Selina）、田馥甄（Hebe）共同签入华研国际音乐，并组成S.H.E组合，由此进入演艺圈。至今已发行个人唱片《蔷蔷》、《我就是…ella陈嘉桦》。
1038093,"鹿晗（LU HAN），1990年4月20日出生于北京，中国男歌手、演员。
2008年赴韩国留学期间在明洞逛街时被S.M. Entertainment公司星探发掘。2010年签约成为旗下练习生。2012年以EXO/EXO-M组合成员身份出道。2014年申请与原公司合同无效后退出原组合。2016年7月19日与S.M.公司专属合同无效案达成和解，在国内开展演艺活动。"
4292,李荣浩，1985年7月11日生于蚌埠，中国流行音乐制作人、歌手、吉他手。曾为众多艺人创作歌曲以及担任制作人，也曾为多部电影与多款电子游戏制作音乐。2013年9月17日发行个人首张原创专辑《模特》，凭借这张专辑入围第25届金曲奖最佳国语男歌手奖、最佳新人奖、最佳专辑制作人、最佳国语专辑、最佳作词奖等五项大奖提名，成为最大黑马，实现了从制作人到歌手的华丽转身。
13145283,隶属于SEVEN GURUS音乐厂牌 经纪人联系方式：18515440725 新浪微博：Ice_冰块
33435854,翻唱也可以原创也可以，希望大家喜欢，我的愿望是有一天能参加草莓音乐节，我站在台上，你是为我而来。
31727575,伊格赛听，是Hikoon Music旗下音乐厂牌，由制作人王中易创立。以流行音乐、国风音乐、二次元等为主。代表作品：《谪仙》《归寻》《慕夏》《戏说》等。
3684,著名男歌手，作曲人、作词人、音乐制作人，偶像与实力兼具。林俊杰出生于新加坡的一个音乐世家。在父母的引导下，4岁就开始学习古典钢琴，不善言辞的他由此发现了另一种与人沟通的语言。小时候的林俊杰把哥哥林俊峰当作偶像，跟随哥哥的步伐做任何事，直到接触流行音乐后，便爱上创作这一条路。
7763,G.E.M.邓紫棋（Gloria Tang Tsz-Kei），原名邓诗颖，1991年8月16日生于中国上海，4岁移居香港，中国香港创作型女歌手。
7227, 香港歌手、演员，签约英皇娱乐集团经纪公司，为香港殿堂级女子歌唱组合Twins成员。著名影视歌三栖明星艺人，因其甜美外形及阳光微笑而深受粉丝们的喜爱和追捧，被誉为“香港人气天后”。其健康时尚的形象也备受广告商们的青睐，2008、09年连续两年获得香港“最强广告人气天后”奖。
8259,金莎（kym），中国流行女歌手、演员。1983年3月14日生于上海。因2002年参演青春剧《十八岁的天空》而被大众知晓，后签约海蝶音乐，与林俊杰合唱歌曲《被风吹过的夏天》随即步入歌坛，先后共推出五张音乐专辑；2011年9月15日成立“金莎音乐工作室”。2013年与谭杰希、立威廉主演的电影《柠檬》于4月19日在全国各大院线上映。
9940,华语流行音乐创作女歌手、金曲奖得主。1984年12月20日生于台湾台中市，籍贯四川省简阳县。
4479,"MC HotDog没有阿姆白，也没有5角黑，但是他在华人饶舌萌芽时期，以领航者的角色带给大家太多的惊奇。MC HotDog的创作在网络上流传的程度，不亚于13号星期五病毒，如果统计有多少华人计算机里有MC HotDog的歌、换算成唱片销售数字的话，决不亚于王力宏+陶吉吉+周杰伦这三人的销售量。
MC HotDog的音乐标榜着「让人家听的懂的RAP」，因为一路走来他的歌词字字句句都是绝妙经典。"
13193,台湾乐团，由乐队团长兼吉他手怪兽、主唱阿信、吉他手石头、贝斯玛莎和鼓手冠佑组成。五月天的前身是SoBand，是由四个师大附中学生组成，329野台开唱的表演所以就改叫五月天，同时也把329当成五月天的成军日。在1997年3月29日改名为“五月天”。乐团的名称是来自贝斯手玛莎在网络论坛上的代号。1999年，台北市立体育场五月天第168场万人演唱会。
